Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Aruba,ABW,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9691155627948,20.1608822207738,23.5943665259028,21.9759572961856,21.8560806275354,21.410594367642,24.5272039569392,25.1510791366906,24.7097844112769,23.1637001754826,23.130393096836,22.6497695852535,21.6620380260628,21.978021978022,25.3744690364409,27.1558775414817,25.9859772129711,28.1022702226141,27.7212724518502,25.7853679106051,26.6500622665006,26.7623469818489,27.7203144393877,,
Afghanistan,AFG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.51656139592377,9.92597697700089,10.6892960297978,10.6703192487155,11.592065777853,11.0420057299761,10.607473686667,11.7379281469133,14.4084984420622,12.9222499064645,12.4300771526078,12.0859732636196,12.7086669909106,12.3509593339429,12.4053687692546,12.5714278388977,,
Angola,AGO,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1546327243358,19.1305785372378,21.8542592103112,14.3120598095328,16.0290371753303,15.3417224061598,15.5369347037304,16.8146114613451,19.8985903408021,17.0423439176188,18.2358605299613,17.8426343702006,21.6219487357876,17.9756599895426,16.4328322483889,13.8806820723937,12.935821514991,,
Albania,ALB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,9.3116515041052,8.84353390708875,8.89861279321276,9.09399523742266,9.75153050082957,9.63955140756505,9.61342983715576,9.99617333989332,9.80506206927652,9.13190329724956,19.1885468896252,22.8753325986112,21.4082882933696,14.6384098004022,14.6234019156112,13.8271152568861,9.45361123822,10.4480810324637,10.8442813786222,11.0556048999761,9.69235772617264,10.6259838956143,11.3350827362759,11.0983890529969,11.2059008535144,11.0312212822525,10.5272505399692,10.4774796795121,10.3789664987471,11.109450179031,11.1573878005397,10.9741939253774,10.8448234595903,11.0254930732349,11.4518331117569,11.1106618039234,11.2481198114761,11.4558312715808,,
Andorra,AND,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,17.2856065739552,17.0043782480864,17.3798819114342,18.0182176395258,14.3101792009824,17.2683200174796,18.3514694692095,18.4213053138416,20.5630832289582,18.6930703859379,16.2810592125665,19.2325466112133,22.3232417982126,24.3642670033872,23.7019008545812,24.2505317317461,26.6029112315386,25.7659137626368,24.1605710072992,24.2221086102853,21.5207041398855,26.6152442108193,22.8482230537369,19.7661802775563,19.7753773917318,19.208419230297,18.9974800701949,19.9646393124449,22.0276999028697,19.6403690630713,18.7369754956817,18.4421929439985,18.4257788268301,17.1433382820964,17.1895856685743,15.708254827718,15.1244648092247,14.8235997928925,13.6353549293248,17.0522888462075,16.0327167186423,15.710815145811,15.9153743041003,17.2752679884319,18.3763428876475,20.9255570236296,19.8899620104485,18.7631481834694,,
United Arab Emirates,ARE,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91402485951947,10.1465410364493,9.75031861639462,8.746787993774,7.87256752437752,6.91778949471818,6.73302385881712,7.29686008705703,10.2340896996295,10.0310643048023,9.9533242585732,9.73043227950605,10.9844555968925,10.9318949207745,12.4285782713718,12.526539601967,12.3177322248217,,
Argentina,ARG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,9.88044509523395,7.78963204832989,12.1923745358372,10.2521949603684,7.22902581011462,8.08948631250583,10.8043385563998,9.73927816603499,9.82935062849218,9.50117537009171,9.74254326207249,10.1462160701663,9.3516969606052,11.5393235681285,13.1532327349931,12.5891776401825,9.42009472794214,9.01540997694691,11.1661116653801,11.0078459556516,,,,,,,,4.7144944990421,4.32191028434568,4.49439596541391,3.13542839161188,3.32176128752774,2.97553802761558,13.5103784728742,13.1869043660659,13.3494556774505,12.5016776609201,12.0620142457633,12.4947749986829,13.7232114149469,13.7841913064131,14.1562743129569,12.235247296692,11.4380567929249,11.114636067696,12.1418612359575,12.4294153726307,12.9893238963619,13.6335132595631,15.903896746884,15.1637178886417,15.6889565165983,16.6454378106252,16.8062377968797,16.9498757371062,18.098379759087,18.0346491705113,18.213751717367,,
Armenia,ARM,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3064997018485,18.5092232400552,18.5466971855959,17.1936819797033,11.5430460348078,11.3229912230238,11.3430091616755,11.4771831087164,11.2920970499034,12.230469548754,12.2029793715602,11.5047766908914,10.4714101584642,10.4088732864155,10.3428536267338,10.6868804313238,10.1897838776431,10.2848159044689,10.3510773808263,13.5473354615137,13.3013883839811,13.2000841939069,10.9099638916146,11.9350654316666,12.0858534859076,13.1115978061212,13.4541585167703,14.2260066909066,,
American Samoa,ASM,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,11.1131210805596,11.3372093023256,11.9889627210271,11.698525964894,11.3887055717922,11.9072298522933,12.8255689754334,12.7952828450341,13.6248285322359,13.0741941403144,13.1914662613322,13.9266574037316,14.4334764913543,14.6335578566402,14.4730072854606,16.8187121350557,17.9058560561451,17.4846434148881,17.8610584119055,17.390644241637,17.2430984448248,17.8396502416094,17.7684114598166,18.6822484268415,18.3480604711122,18.9221633356746,19.0086679095155,18.9534407499326,18.0591827032901,17.3902043570045,17.2349938356266,18.1968403455405,19.0448798524757,18.9325797080529,18.3726183165787,18.0244537140569,17.9551136374406,17.6217514780538,17.614611195092,17.9609261682379,17.7497771839379,17.7481603823113,17.5103422937808,17.5612144466594,17.4691210918201,17.5337981574903,17.4475931462591,17.3296656207235,17.2282576800764,17.5819477359171,17.9933629902416,17.8091936255983,17.9826964190273,17.8408769383825,17.6965313427448,18.0527493456289,18.6384824331588,18.5216592466963,,
Austria,AUT,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,12.7455775207614,12.496313475303,12.7796071547905,13.2489677293722,13.3001889893073,13.4279181998776,13.7293662742236,14.6301801027666,14.8230286357765,15.1459129274442,14.3153976502541,14.393009971543,14.2445723828885,14.6867458207583,15.3485413051329,16.7899787187875,17.1817690787957,17.0109080701459,17.6562140182671,17.5220947153094,17.5341448172113,17.9647044912803,18.3466777107019,18.346321668112,18.388731219501,18.5778439827762,18.7854384188693,18.7520822072581,18.5135055835517,18.1859860727517,17.9756735956968,18.1577959151049,18.489911916127,19.3004156683679,19.4443663728491,19.5896579303121,19.5657433008979,19.6007911245516,19.5530546720414,19.8436668661919,19.2197165554154,18.9761681528468,18.8386965201083,18.979639912386,18.8913590714454,19.3462734216739,19.2582902718553,18.7447920696102,19.2721309580265,20.6842134754264,20.4925476679965,19.89656808887,19.8606923693557,19.9159427520344,19.8028420386289,19.7623146628968,19.7245664052466,19.5568430175175,,
Azerbaijan,AZE,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,20.76,17.79375,30.140127388535,23.5111822791567,12.7940762958103,12.017858449828,12.6112148940886,15.1572400162762,15.6128314481736,15.1501663805345,13.6466250282188,12.4041237113402,12.3878821800882,12.9000492368292,10.4220403274107,8.53986407912004,9.66026692054089,8.49511176664042,11.1234077215848,10.8814317673378,10.1276832686917,10.5259600648111,10.2832491148465,10.8858730371216,12.4082383229128,12.8320634437288,11.5297475871568,,
Burundi,BDI,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,2.67857156523324,2.58620699847121,3.27868843244904,4.51127823425373,5.36912735204978,6.94510704275747,7.0991406703324,7.26555990000641,7.79975046787274,8.28576578741813,9.77160049154625,10.5845767208921,12.9235855784102,11.5827896415946,12.5827985067765,11.5459675984158,8.70704009763262,11.150975482059,13.7945349897943,12.8489010247825,9.21771444173027,9.06962398325043,10.6590645904156,8.31528542192374,7.81917814015283,7.83191993717172,9.83957842872865,9.69214042516666,10.7064831144218,10.1842788681871,10.8160802153932,10.768393283561,19.2375890021016,20.4914437774664,17.4139248520428,19.0502875515238,19.9923983276321,16.7736289381564,17.1414292853573,18.1598594642073,14.8566983263618,15.5330738165848,14.7329868449071,17.46133527299,19.2272662954525,14.1,15.2,19.0000006815559,20.200001151146,19.7000012320278,21.9000002798828,22.900000496536,23.2999991086841,24.7,25.9000061887709,22.4211149940172,23.4759709636592,,,
